vehicles	visited customers	driven distance	cost
vehicle_1	[0, 85, 58, 26, 32, 68, 69]	2154
vehicle_2	[0, 47, 35, 55, 64, 67]	1386
vehicle_3	[0, 28, 89, 53, 13, 80, 12]	1816
vehicle_4	[0]	0
vehicle_5	[0]	0
vehicle_6	[0]	0
vehicle_7	[0, 4, 97, 21, 70, 63, 31, 34]	1740
vehicle_8	[0]	0
vehicle_9	[0]	0
vehicle_10	[0]	0
vehicle_11	[0]	0
vehicle_12	[0]	0
vehicle_13	[0, 42, 57, 67, 22, 1, 18, 16]	1410
vehicle_14	[0, 7, 93, 54, 50]	898
vehicle_15	[0, 45, 73, 78, 9, 65, 74]	1218
vehicle_16	[0]	0
vehicle_17	[0, 92, 74, 6, 86, 15, 38, 60, 8]	1806
vehicle_18	[0, 0, 25, 99, 40, 24, 69]	1420
vehicle_19	[0, 59, 72, 90, 61, 10, 9]	1994
vehicle_20	[0, 11, 2, 3, 48, 56]	1260
vehicle_21	[0, 23, 83, 71, 8, 27, 14, 87, 43, 76, 75, 98, 50, 39]	1934
vehicle_22	[0]	0
vehicle_23	[0]	0
vehicle_24	[0, 81, 17, 79, 88, 29, 77, 37, 41, 82, 12, 94, 95, 84, 20, 52, 96]	2394
vehicle_25	[0, 30, 46, 19, 44, 5, 66, 36, 49, 51, 91, 33, 34, 16, 62, 87]	3008
vehicle_26	[0]	0
vehicle_27	[0]	0
vehicle_28	[0]	0
vehicle_29	[0]	0
vehicle_30	[0]	0
vehicle_31	[0]	0
vehicle_32	[0]	0
vehicle_33	[0]	0
			224848
