vehicles	visited customers	driven distance	cost
vehicle_1	[0]	0
vehicle_2	[0]	0
vehicle_3	[0]	0
vehicle_4	[0]	0
vehicle_5	[0]	0
vehicle_6	[0]	0
vehicle_7	[0]	0
vehicle_8	[0]	0
vehicle_9	[0]	0
vehicle_10	[0]	0
vehicle_11	[0]	0
vehicle_12	[0]	0
vehicle_13	[0]	0
vehicle_14	[0]	0
vehicle_15	[0]	0
vehicle_16	[0]	0
vehicle_17	[0]	0
vehicle_18	[0]	0
vehicle_19	[0]	0
vehicle_20	[0]	0
vehicle_21	[0]	0
vehicle_22	[0]	0
vehicle_23	[0]	0
vehicle_24	[0]	0
vehicle_25	[0]	0
vehicle_26	[0]	0
vehicle_27	[0]	0
vehicle_28	[87 49 66 79 90 58 10 24 72  5 33 84 46 74  6 69  0 64 36 75  1  7 67 26]	1400.0
vehicle_29	[0]	0
vehicle_30	[0]	0
vehicle_31	[0]	0
vehicle_32	"[ 45  20  73  85  96  54  65  41  91  16 100  56  68  93  71   0  13  57
  44  53  21  82  25  95  70  63  88  62   2  77  15  12  18  27  81  80
  76   8  14  99  55  94]"	2159.0
vehicle_33	"[ 4  3 86 34 11 61 98 83 50 92 52 39  9 43 42 30 29 31 78 22 48 59 89 38
 47 32 35 51 60 23 17 28 97 19 40  0 37]"	1792.0
			97469.0
